building_id,longitude,latitude,district_id
52039,30.371615158,59.859412676,13
52039,30.371615158,59.859412676,13
42554,30.369429603,59.860458241,13
560,30.36745885,59.85974676,13
560,30.36745885,59.85974676,13
51230,30.368330987,59.859328378,13
82268,30.369359409,59.859278462,13
68560,30.370095323,59.85937145,13
66445,30.371071641,59.858681504,13
36939,30.36455101,59.858405852,13
139330,30.452536955,59.913080552,12
89130,29.99219645,60.005458347,34
127977,29.992954919,60.005832044,34
34290,29.992415548,60.00596656,34
34290,29.992415548,60.00596656,34
77127,29.99141099,60.006280109,34
110948,29.993625408,60.010987952,34
9395,30.128623402,60.126638147,38
220313,29.99206443,60.008974097,34
38747,30.129258547,60.126343221,38
86457,29.990147743,60.007886752,34
98498,29.991613511,60.008574923,34
25050,30.131552653,60.127256009,38
100539,30.13249781,60.128181605,38
75047,30.133013673,60.127975907,38
77127,29.99141099,60.006280109,34
55325,29.9894273,60.006234822,34
99772,29.990762615,60.006448898,34
93246,29.990455897,60.006549853,34
36432,29.993107075,60.010403344,34
220313,29.99206443,60.008974097,34
11308,29.991067817,60.008021271,34
25050,30.131552653,60.127256009,38
60111,30.131992656,60.127336081,38
100539,30.13249781,60.128181605,38
30405,29.99390417,60.005930911,34
98455,29.989721098,60.006772664,34
75047,30.133013673,60.127975907,38
89492,29.989003355,60.006328673,34
82110,29.991816558,60.008788735,34
53395,29.836605383,60.186169092,38
19305,29.990858836,60.005906866,34
61910,29.990284831,60.006150604,34
93246,29.990455897,60.006549853,34
54758,29.993686971,60.005692778,34
110819,29.99149596,60.008405007,34
27534,29.996048622,60.01405699,34
110819,29.99149596,60.008405007,34
82110,29.991816558,60.008788735,34
38747,30.129258547,60.126343221,38
212790,29.988544373,60.006666568,34
38484,29.837362008,60.186890747,38
30405,29.99390417,60.005930911,34
61910,29.990284831,60.006150604,34
110997,29.986929297,60.00774628,34
98498,29.991613511,60.008574923,34
86457,29.990147743,60.007886752,34
88765,29.989697302,60.006038904,34
91562,29.993379593,60.010241167,34
6768,29.990521791,60.006796149,34
19305,29.990858836,60.005906866,34
9395,30.128623402,60.126638147,38
50977,29.991020005,60.007836011,34
54758,29.993686971,60.005692778,34
56241,29.991573906,60.005624,34
99772,29.990762615,60.006448898,34
127977,29.992954919,60.005832044,34
110819,29.99149596,60.008405007,34
91042,29.993855019,60.011182913,34
9395,30.128623402,60.126638147,38
52261,29.986825468,60.007395322,34
89492,29.989003355,60.006328673,34
11308,29.991067817,60.008021271,34
60111,30.131992656,60.127336081,38
37112,30.126564693,60.126232468,38
76468,30.474952383,59.88229893,12
82114,30.476320692,59.882138704,12
126276,30.478067424,59.880650444,12
199041,30.476639386,59.882769639,12
88838,30.477707467,59.882407359,12
88838,30.477707467,59.882407359,12
42558,30.478011112,59.88310755,12
34739,30.479768584,59.881474176,12
34739,30.479768584,59.881474176,12
75517,30.371670365,59.850144054,13
75517,30.371670365,59.850144054,13
37273,30.37249461,59.851070105,13
25831,30.372940943,59.8515434,13
25831,30.372940943,59.8515434,13
37839,30.373566032,59.850614053,13
66692,30.373828258,59.849768223,13
25652,30.374020878,59.851018563,13
25652,30.374020878,59.851018563,13
92510,30.374803232,59.849830974,13
30992,30.374492188,59.851426437,13
30992,30.374492188,59.851426437,13
37587,30.375390618,59.850233666,13
34911,30.375805592,59.850723826,13
34911,30.375805592,59.850723826,13
110386,30.368030763,59.855237447,13
110386,30.368030763,59.855237447,13
138696,30.368536152,59.855920538,13
67493,30.245568834,59.948251631,6
131418,29.756578191,60.240168577,38
131418,29.756578191,60.240168577,38
15983,30.192672823,60.101247758,36
13004,30.195618841,60.108350168,36
98291,30.230691028,60.100370204,36
81443,30.229260657,60.099174276,36
71198,30.227042951,60.098137568,36
79167,30.223147519,60.098427737,36
17410,30.221624181,60.098108167,36
110268,30.220416781,60.097400309,36
77139,30.429129001,59.720701946,35
98918,30.225898689,60.098660738,36
96925,30.226413937,60.098778962,36
48593,30.22533589,60.098475186,36
78777,30.112715827,59.784795316,16
19293,30.22868549,60.099101404,36
73235,30.60408226,59.749577746,37
35223,29.804703018,59.900177707,21
30743,30.605422877,59.749557303,37
30743,30.605422877,59.749557303,37
55877,29.803778993,59.899740382,21
41161,30.607594593,59.748865262,37
22682,30.608262284,59.748804814,37
12687,30.60824746,59.749496143,37
198078,29.802221702,59.900461508,21
21742,30.60847865,59.749131804,37
21742,30.60847865,59.749131804,37
108026,30.228116632,60.100147499,36
86169,30.449079574,59.704078386,35
103203,30.224423093,60.099762217,36
10854,30.223697497,60.099613196,36
63080,30.225296362999998,60.099582298,36
65504,30.222964684,60.099060552,36
108167,30.219302783,60.097161976,36
66367,30.219003938,60.096981884,36
65656,30.218753836,60.096833393,36
6792,29.804760891,59.899936882,21
43424,30.225484692,60.09736726,36
57894,30.224829959,60.098773048,36
37562,30.222671712,60.09863767,36
36295,30.222292437,60.098636333,36
92047,30.221188612,60.097859646,36
14563,30.219835316,60.097507369,36
29922,30.220139324,60.097248098,36
29922,30.220139324,60.097248098,36
126731,30.228759346,60.099564504,36
126731,30.228759346,60.099564504,36
81443,30.229260657,60.099174276,36
17706,30.226036789,60.097567549,36
79739,30.224251441,60.096936557,36
35223,29.804703018,59.900177707,21
55877,29.803778993,59.899740382,21
108922,29.803068334,59.899815079,21
108922,29.803068334,59.899815079,21
108922,29.803068334,59.899815079,21
77358,30.607593128,59.749215522,37
77358,30.607593128,59.749215522,37
72591,30.226375571,60.099002878,36
96925,30.226413937,60.098778962,36
48593,30.22533589,60.098475186,36
78777,30.112715827,59.784795316,16
12687,30.60824746,59.749496143,37
21742,30.60847865,59.749131804,37
21742,30.60847865,59.749131804,37
17611,30.449200642,59.703436623,35
17611,30.449200642,59.703436623,35
108026,30.228116632,60.100147499,36
102576,30.224716195,60.100225755,36
10854,30.223697497,60.099613196,36
63080,30.225296362999998,60.099582298,36
50413,30.224290893,60.099353964,36
16466,30.223446241,60.099167895,36
16466,30.223446241,60.099167895,36
9912,29.990013436,60.030598836,34
28598,30.232133979,60.099100241,36
48697,30.12998591,59.781659666,16
21520,30.130309273,59.782035438,16
62526,30.42967429,59.720096427,35
62526,30.42967429,59.720096427,35
77139,30.429129001,59.720701946,35
77139,30.429129001,59.720701946,35
77139,30.429129001,59.720701946,35
46653,30.301116704,60.038702547,34
46653,30.301116704,60.038702547,34
50577,30.224827583,60.099452501,36
50577,30.224827583,60.099452501,36
48697,30.12998591,59.781659666,16
65970,30.227233504,60.100957447,36
81824,30.226452638,60.10069715,36
65970,30.227233504,60.100957447,36
5856,29.985243113,60.032188337,34
65970,30.227233504,60.100957447,36
9912,29.990013436,60.030598836,34
65970,30.227233504,60.100957447,36
125679,30.227124666,60.102067191,36
43424,30.225484692,60.09736726,36
43424,30.225484692,60.09736726,36
43424,30.225484692,60.09736726,36
28635,30.244706369,60.102100537,36
9912,29.990013436,60.030598836,34
67534,29.802601653,59.900356162,21
65499,30.222305913,60.098982138,36
69548,30.225032607,60.099125891,36
57894,30.224829959,60.098773048,36
34267,30.224333122,60.098665288,36
34317,30.223673761,60.098525758,36
34317,30.223673761,60.098525758,36
112128,30.225843819,60.098916276,36
79167,30.223147519,60.098427737,36
35586,30.222703559,60.098296455,36
3894,30.221204459,60.098319526,36
114714,30.222201539,60.098244344,36
111213,30.220967345,60.098127397,36
17410,30.221624181,60.098108167,36
15739,30.220448729,60.097823633,36
92047,30.221188612,60.097859646,36
74663,30.220739119,60.097597862,36
14563,30.219835316,60.097507369,36
110268,30.220416781,60.097400309,36
43424,30.225484692,60.09736726,36
102780,30.224727386,60.097094705,36
104096,30.244448326,60.10647776,36
102780,30.224727386,60.097094705,36
102780,30.224727386,60.097094705,36
28635,30.244706369,60.102100537,36
102780,30.224727386,60.097094705,36
102780,30.224727386,60.097094705,36
126707,30.243159945,60.09787384,36
102780,30.224727386,60.097094705,36
102780,30.224727386,60.097094705,36
85656,30.223448934,60.09670114,36
104096,30.244448326,60.10647776,36
85656,30.223448934,60.09670114,36
85656,30.223448934,60.09670114,36
85656,30.223448934,60.09670114,36
28635,30.244706369,60.102100537,36
85656,30.223448934,60.09670114,36
85656,30.223448934,60.09670114,36
126707,30.243159945,60.09787384,36
85656,30.223448934,60.09670114,36
65970,30.227233504,60.100957447,36
17856,30.227013587,60.10152131,36
95827,30.219573937,60.097313213,36
29922,30.220139324,60.097248098,36
108167,30.219302783,60.097161976,36
45105,30.21984994,60.097059016,36
66367,30.219003938,60.096981884,36
65656,30.218753836,60.096833393,36
72724,30.220649393,60.097941685,36
112128,30.225843819,60.098916276,36
69548,30.225032607,60.099125891,36
112128,30.225843819,60.098916276,36
65970,30.227233504,60.100957447,36
1452,30.354347088,59.729426198,35
65970,30.227233504,60.100957447,36
46455,30.226286174,60.101219722,36
112128,30.225843819,60.098916276,36
112128,30.225843819,60.098916276,36
110465,30.220274951,60.099146649,36
22786,30.00622349,59.847673175,21
28683,30.223766908,60.098928603,36
11697,30.222963916,60.098787607,36
37562,30.222671712,60.09863767,36
36295,30.222292437,60.098636333,36
86169,30.449079574,59.704078386,35
30743,30.605422877,59.749557303,37
46455,30.226286174,60.101219722,36
3240,30.226155668,60.10169143,36
5856,29.985243113,60.032188337,34
81824,30.226452638,60.10069715,36
98240,30.226609498,60.100294956,36
98240,30.226609498,60.100294956,36
65970,30.227233504,60.100957447,36
43998,30.227776468,60.099747686,36
1523,30.353192005,59.730978317,35
45721,30.228287913,60.099287256,36
108922,29.803068334,59.899815079,21
19293,30.22868549,60.099101404,36
17706,30.226036789,60.097567549,36
21520,30.130309273,59.782035438,16
25407,30.428826546,59.719648685,35
32445,30.299649238,60.041535818,34
25407,30.428826546,59.719648685,35
40718,30.129127804,59.780429101,16
28598,30.232133979,60.099100241,36
55150,30.129426803,59.780817286,16
55150,30.129426803,59.780817286,16
109767,29.80403388,59.900087496,21
23055,30.610196194,59.800292176,37
109767,29.80403388,59.900087496,21
16571,30.5123273,59.806540031,37
6792,29.804760891,59.899936882,21
22682,30.608262284,59.748804814,37
110465,30.220274951,60.099146649,36
22786,30.00622349,59.847673175,21
15739,30.220448729,60.097823633,36
98918,30.225898689,60.098660738,36
98291,30.230691028,60.100370204,36
95827,30.219573937,60.097313213,36
114714,30.222201539,60.098244344,36
30743,30.605422877,59.749557303,37
17856,30.227013587,60.10152131,36
65499,30.222305913,60.098982138,36
6792,29.804760891,59.899936882,21
123992,30.220124735,60.097647444,36
3894,30.221204459,60.098319526,36
4128,30.225288649,60.098848021,36
1523,30.353192005,59.730978317,35
30743,30.605422877,59.749557303,37
43424,30.225484692,60.09736726,36
46455,30.226286174,60.101219722,36
19091,30.219659914,60.096944624,36
65970,30.227233504,60.100957447,36
45105,30.21984994,60.097059016,36
62526,30.42967429,59.720096427,35
40718,30.129127804,59.780429101,16
83958,30.227641962,60.100052638,36
83958,30.227641962,60.100052638,36
71819,30.224906346,60.099878796,36
71819,30.224906346,60.099878796,36
102576,30.224716195,60.100225755,36
71198,30.227042951,60.098137568,36
102780,30.224727386,60.097094705,36
11697,30.222963916,60.098787607,36
4128,30.225288649,60.098848021,36
41161,30.607594593,59.748865262,37
74663,30.220739119,60.097597862,36
73235,30.60408226,59.749577746,37
35586,30.222703559,60.098296455,36
50413,30.224290893,60.099353964,36
123992,30.220124735,60.097647444,36
81824,30.226452638,60.10069715,36
